movie_title,video_id,user_id,rating,age,sex,occupation,zip_code

How Much Water Is In a Watermelon?,0,1,5,24,M,technician,85711

How Much Water Is In a Watermelon?,0,1,3,53,F,other,94043

How Much Water Is In a Watermelon?,0,1,4,23,M,writer,32067

How Much Water Is In a Watermelon?,0,1,3,24,M,technician,43537

How Much Water Is In a Watermelon?,0,1,3,33,F,other,15213

How Much Water Is In a Watermelon?,0,1,5,42,M,executive,98101

How Much Water Is In a Watermelon?,0,1,4,57,M,administrator,91344

How Much Water Is In a Watermelon?,0,1,1,36,M,administrator,05201

How Much Water Is In a Watermelon?,0,1,5,29,M,student,01002

How Much Water Is In a Watermelon?,0,1,3,53,M,lawyer,90703

How Much Water Is In a Watermelon?,0,1,2,39,F,other,30329

How Much Water Is In a Watermelon?,0,1,5,28,F,other,06405

How Much Water Is In a Watermelon?,0,1,5,47,M,educator,29206

How Much Water Is In a Watermelon?,0,1,5,45,M,scientist,55106

How Much Water Is In a Watermelon?,0,1,5,49,F,educator,97301

How Much Water Is In a Watermelon?,0,1,5,21,M,entertainment,10309

How Much Water Is In a Watermelon?,0,1,3,30,M,programmer,06355

How Much Water Is In a Watermelon?,0,1,4,35,F,other,37212

How Much Water Is In a Watermelon?,0,1,5,40,M,librarian,02138

How Much Water Is In a Watermelon?,0,1,4,42,F,homemaker,95660

How Much Water Is In a Watermelon?,0,1,1,26,M,writer,30068

How Much Water Is In a Watermelon?,0,1,4,25,M,writer,40206

How Much Water Is In a Watermelon?,0,1,4,30,F,artist,48197

How Much Water Is In a Watermelon?,0,1,3,21,F,artist,94533

How Much Water Is In a Watermelon?,0,1,4,39,M,engineer,55107

How Much Water Is In a Watermelon?,0,1,3,49,M,engineer,21044

How Much Water Is In a Watermelon?,0,1,2,40,F,librarian,30030

How Much Water Is In a Watermelon?,0,1,4,32,M,writer,55369

How Much Water Is In a Watermelon?,0,1,1,41,M,programmer,94043

How Much Water Is In a Watermelon?,0,1,3,7,M,student,55436

How Much Water Is In a Watermelon?,0,1,3,24,M,artist,10003

How Much Water Is In a Watermelon?,0,1,5,28,F,student,78741

How Much Water Is In a Watermelon?,0,1,4,23,M,student,27510

How Much Water Is In a Watermelon?,0,1,2,38,F,administrator,42141

How Much Water Is In a Watermelon?,0,1,1,20,F,homemaker,42459

How Much Water Is In a Watermelon?,0,1,2,19,F,student,93117

How Much Water Is In a Watermelon?,0,1,2,23,M,student,55105

How Much Water Is In a Watermelon?,0,1,3,28,F,other,54467

How Much Water Is In a Watermelon?,0,1,4,41,M,entertainment,01040

How Much Water Is In a Watermelon?,0,1,3,38,M,scientist,27514

Can you Make POPCORN in Your Dryer?,1,1,2,24,M,technician,85711

Can you Make POPCORN in Your Dryer?,1,1,5,53,F,other,94043

Can you Make POPCORN in Your Dryer?,1,1,4,23,M,writer,32067

Can you Make POPCORN in Your Dryer?,1,1,5,24,M,technician,43537

Can you Make POPCORN in Your Dryer?,1,1,5,33,F,other,15213

Can you Make POPCORN in Your Dryer?,1,1,4,42,M,executive,98101

Can you Make POPCORN in Your Dryer?,1,1,4,57,M,administrator,91344

Can you Make POPCORN in Your Dryer?,1,1,5,36,M,administrator,05201

Can you Make POPCORN in Your Dryer?,1,1,3,29,M,student,01002

Can you Make POPCORN in Your Dryer?,1,1,5,53,M,lawyer,90703

Can you Make POPCORN in Your Dryer?,1,1,4,39,F,other,30329

Can you Make POPCORN in Your Dryer?,1,1,4,28,F,other,06405

Can you Make POPCORN in Your Dryer?,1,1,3,47,M,educator,29206

Can you Make POPCORN in Your Dryer?,1,1,3,45,M,scientist,55106

Can you Make POPCORN in Your Dryer?,1,1,5,49,F,educator,97301

Can you Make POPCORN in Your Dryer?,1,1,4,21,M,entertainment,10309

Can you Make POPCORN in Your Dryer?,1,1,5,30,M,programmer,06355

Can you Make POPCORN in Your Dryer?,1,1,4,35,F,other,37212

Can you Make POPCORN in Your Dryer?,1,1,5,40,M,librarian,02138

Can you Make POPCORN in Your Dryer?,1,1,5,42,F,homemaker,95660

Can you Make POPCORN in Your Dryer?,1,1,4,26,M,writer,30068

Can you Make POPCORN in Your Dryer?,1,1,3,25,M,writer,40206

Can you Make POPCORN in Your Dryer?,1,1,2,30,F,artist,48197

Can you Make POPCORN in Your Dryer?,1,1,5,21,F,artist,94533

Can you Make POPCORN in Your Dryer?,1,1,4,39,M,engineer,55107

Can you Make POPCORN in Your Dryer?,1,1,4,49,M,engineer,21044

Can you Make POPCORN in Your Dryer?,1,1,3,40,F,librarian,30030

Can you Make POPCORN in Your Dryer?,1,1,4,32,M,writer,55369

Can you Make POPCORN in Your Dryer?,1,1,3,41,M,programmer,94043

Can you Make POPCORN in Your Dryer?,1,1,3,7,M,student,55436

Can you Make POPCORN in Your Dryer?,1,1,3,24,M,artist,10003

Can you Make POPCORN in Your Dryer?,1,1,4,28,F,student,78741

Can you Make POPCORN in Your Dryer?,1,1,3,23,M,student,27510

Can you Make POPCORN in Your Dryer?,1,1,1,38,F,administrator,42141

Can you Make POPCORN in Your Dryer?,1,1,4,20,F,homemaker,42459

Can you Make POPCORN in Your Dryer?,1,1,4,19,F,student,93117

Can you Make POPCORN in Your Dryer?,1,1,4,23,M,student,55105

Can you Make POPCORN in Your Dryer?,1,1,1,28,F,other,54467

Can you Make POPCORN in Your Dryer?,1,1,4,41,M,entertainment,01040

Can you Make POPCORN in Your Dryer?,1,1,4,38,M,scientist,27514

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,24,M,technician,85711

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,53,F,other,94043

City of the Future: Singapore �C Full Episode | National Geographic,2,1,3,23,M,writer,32067

City of the Future: Singapore �C Full Episode | National Geographic,2,1,4,24,M,technician,43537

City of the Future: Singapore �C Full Episode | National Geographic,2,1,3,33,F,other,15213

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,42,M,executive,98101

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,57,M,administrator,91344

City of the Future: Singapore �C Full Episode | National Geographic,2,1,4,36,M,administrator,05201

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,29,M,student,01002

City of the Future: Singapore �C Full Episode | National Geographic,2,1,4,53,M,lawyer,90703

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,39,F,other,30329

City of the Future: Singapore �C Full Episode | National Geographic,2,1,3,28,F,other,06405

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,47,M,educator,29206

City of the Future: Singapore �C Full Episode | National Geographic,2,1,2,45,M,scientist,55106

City of the Future: Singapore �C Full Episode | National Geographic,2,1,4,49,F,educator,97301

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,21,M,entertainment,10309

City of the Future: Singapore �C Full Episode | National Geographic,2,1,3,30,M,programmer,06355

City of the Future: Singapore �C Full Episode | National Geographic,2,1,4,35,F,other,37212

City of the Future: Singapore �C Full Episode | National Geographic,2,1,3,40,M,librarian,02138

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,42,F,homemaker,95660

City of the Future: Singapore �C Full Episode | National Geographic,2,1,2,26,M,writer,30068

City of the Future: Singapore �C Full Episode | National Geographic,2,1,2,25,M,writer,40206

City of the Future: Singapore �C Full Episode | National Geographic,2,1,1,30,F,artist,48197

City of the Future: Singapore �C Full Episode | National Geographic,2,1,1,21,F,artist,94533

City of the Future: Singapore �C Full Episode | National Geographic,2,1,2,39,M,engineer,55107

City of the Future: Singapore �C Full Episode | National Geographic,2,1,4,49,M,engineer,21044

City of the Future: Singapore �C Full Episode | National Geographic,2,1,4,40,F,librarian,30030

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,32,M,writer,55369

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,41,M,programmer,94043

City of the Future: Singapore �C Full Episode | National Geographic,2,1,1,7,M,student,55436

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,24,M,artist,10003

City of the Future: Singapore �C Full Episode | National Geographic,2,1,1,28,F,student,78741

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,23,M,student,27510

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,38,F,administrator,42141

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,20,F,homemaker,42459

City of the Future: Singapore �C Full Episode | National Geographic,2,1,3,19,F,student,93117

City of the Future: Singapore �C Full Episode | National Geographic,2,1,3,23,M,student,55105

City of the Future: Singapore �C Full Episode | National Geographic,2,1,3,28,F,other,54467

City of the Future: Singapore �C Full Episode | National Geographic,2,1,5,41,M,entertainment,01040

City of the Future: Singapore �C Full Episode | National Geographic,2,1,1,38,M,scientist,27514

Sharks 101 | National Geographic,3,1,4,24,M,technician,85711

Sharks 101 | National Geographic,3,1,3,53,F,other,94043

Sharks 101 | National Geographic,3,1,4,23,M,writer,32067

Sharks 101 | National Geographic,3,1,5,24,M,technician,43537

Sharks 101 | National Geographic,3,1,3,33,F,other,15213

Sharks 101 | National Geographic,3,1,2,42,M,executive,98101

Sharks 101 | National Geographic,3,1,5,57,M,administrator,91344

Sharks 101 | National Geographic,3,1,4,36,M,administrator,05201

Sharks 101 | National Geographic,3,1,5,29,M,student,01002

Sharks 101 | National Geographic,3,1,3,53,M,lawyer,90703

Sharks 101 | National Geographic,3,1,1,39,F,other,30329

Sharks 101 | National Geographic,3,1,4,28,F,other,06405

Sharks 101 | National Geographic,3,1,4,47,M,educator,29206

Sharks 101 | National Geographic,3,1,4,45,M,scientist,55106

Sharks 101 | National Geographic,3,1,4,49,F,educator,97301

Sharks 101 | National Geographic,3,1,3,21,M,entertainment,10309

Sharks 101 | National Geographic,3,1,5,30,M,programmer,06355

Sharks 101 | National Geographic,3,1,1,35,F,other,37212

Sharks 101 | National Geographic,3,1,3,40,M,librarian,02138

