,video_id,textDisplay,publishedAt
0,e98P8ZByRDg,"Watermelon 
Earthmelon 
Firemelon 
Airmelon 
Together they make up the elemelons",2019-10-14T00:01:07.000Z
0,82xbGBUc358,"How many should we start with?
One.
So... all of them?
 No just one.


Edit: OH MA GAWD IM LITERALLY FREAKING OUT so many likes!",2019-10-16T00:36:10.000Z
0,xi6r3hZe5Tg,Singapore is considered one of the most advanced regions in the world. What intrigues you the most about this fascinating city?,2018-11-27T01:13:35.000Z
0,4HGNqFdaD34,The world's biggest living fish is a shark. What intrigues you the most about these amazing creatures?,2019-07-26T03:11:28.000Z
0,hoO5ZdKl2qE,Crash Course Business: Entrepreneurship has been a great series so far. I'd love to see Crash Course Linguistics though.,2019-10-16T22:26:01.000Z
0,5fJl_ZX91l0,"You could make a religion out of...
*NO, DON'T*",2019-10-08T21:05:06.000Z
0,SwaCg7Gwtzw,"Me, an intellectual: Hmm, yes, central banks.",2019-10-15T22:51:50.000Z
0,z-IR48Mb3W0,I hate it when people say they have depression when they are actually just sad,2016-12-13T10:05:57.000Z
0,slvXiEbGXo4,"""the last quiz show for a while""
*W H A T    N O*",2019-10-17T03:46:56.000Z
0,stUNPVMLHg4,"Thanks to the commenters pointing out our mistranslation of the German ""Blindschleiche""! Schleiche doesn't mean snake, but rather, ""sneak"", though in this case, it's just the German word for these animals.",2019-10-14T16:06:39.000Z
0,ThwuT3_AG6w,"""I made an origami cactus""
""What did it cost?""
""Everything""",2019-10-04T22:00:50.000Z
0,fHsa9DqmId8,"I appreciate the quality analog PowerPoint presentation, lol.",2019-05-20T03:12:54.000Z
0,cIsi9jmN5eQ,"Siri: "" I'll destroy all humans""

Stephen and Elon:
""Terminator !!!!!!""",2019-10-17T07:16:37.000Z
0,ZjJsQe9tlUk,Are you mad bro? Like if you are (nature likes),2019-10-15T18:22:54.000Z
0,IZcbCnZsl5c,His voice alone reduces my anxiety.,2019-10-16T16:50:06.000Z
0,-MTRxRO5SRA,It's so strange to hear his voice while also seeing him.,2017-12-10T19:50:16.000Z
0,SepzxVh78wk,"Me: time to start my diet

Tasty: I’m gonna stop you right there",2019-10-16T16:36:52.000Z
0,hTrEKEKAxfM,"Me: *diets*

Tasty: im about to end this whole mans career",2019-10-16T22:16:26.000Z
0,m9FRSghXhDM,who else misses these old epic meal time videos?,2016-07-26T17:19:51.000Z
0,fdceNb251Zk,You guys should collaborate with Matt Stonie and make him things to eat.,2019-03-17T18:54:36.000Z
0,kz3kWBNxVGk,"I love these ""tips"". Even if I knew a few of them already it's great to be reminded and also see how to make use of ""waste"" instead of wasting it (though I used to compost them). Great clip!!!",2019-10-16T19:05:29.000Z
0,DonJQk9_OBg,Watching his videos makes me feel like I am cheating Gordon.,2019-08-04T12:34:19.000Z
0,vSBSzWmjXO0,"TEST TO FIND GOOD VIDEOS ON YOUTUBE:
If they get burned by Ann Reardon: BAD

Thanks Ann for all you do. Keep it up! 🙌😄",2019-07-12T12:09:15.000Z
0,9w3QdeuRSAo,Meet our new puppy....  https://www.youtube.com/edit?o=U&video_id=uTr_U4d-4Kk,2019-06-09T22:58:50.000Z
0,SfNgpLkV6KE,Moral of the story: add a shot of bourbon or cognac to your milkshake sometime. If you're of age. And not driving. And not lactose intolerant. And not taking the boss's wife out on a date with a bag of horse that she might mistake for coke.,2019-10-15T13:07:05.000Z
0,Ccr8J-Vp_PU,THUMBS UP IF YOU THINK BABBY'S A YOUTUBE ZADDY,2019-10-15T15:12:47.000Z
0,KVenc5ImVbY,Who is this Italian goddess 😍,2019-10-16T15:38:51.000Z
0,Utpl6FEZn48,Can someone make a montage video of Laura's reactions to the first bite? It would be hilarious to see all of the waves at the camera and the rolling of eyes in one video haha! ,2014-09-16T11:34:51.000Z
0,ssAikm3ZkbE,"German caption was submitted by Hausgemachtes, Wurstküche, Brutzeln, Räucherwelt & Music. (YouTube)! Thank you so much! https://www.youtube.com/timedtext_video?ref=wt&v=ssAikm3ZkbE",2019-09-06T16:35:08.000Z
0,oqeoOph7Lts,"“Don’t be baby”

Classic Asian women savageness.",2018-07-15T06:51:16.000Z
0,zGcYabz3hYg,When the cat eats better than you,2017-07-24T12:36:36.000Z
0,_SglZwZdpV8,Thank you so much for the support on Patreon and watching my videos! We were able to move to a place with a bigger kitchen and we’re super grateful! Now I’m one step closer to my actual dream kitchen I can build in my own house in the future! :)　※I just realised honey might not be vegan so please substitute honey mustard with normal mustard and sugar.,2019-05-26T13:52:04.000Z
0,brAJ7pEudFU,"Unleash your inner-Brad, Claire, Christina or whichever Test Kitchen chef you are this Thanksgiving! Get their expert intel, tools, techniques and recipes in the November issue. Subscribe to Bon Appétit now and get a free tote while you’re at it: http://bit.ly/2oCwsyi",2019-10-16T17:18:06.000Z
0,GhxEr2-sA2I,"Unleash your inner-Brad, Claire, Christina or whichever Test Kitchen chef you are this Thanksgiving! Get their expert intel, tools, techniques and recipes in the November issue. Subscribe to Bon Appétit now and get a free tote while you’re at it: http://bit.ly/2oCwsyi",2019-10-15T16:07:46.000Z
0,b2b2hbmquZU,"Jamie: 30 minutes
Barry: 5 hours
Me: *waiting for Ben to raise a baby calf to adulthood and serve a 3 year chili*",2019-10-16T16:51:09.000Z
0,pTFP3qU6AHw,"“At least it’s not a trumpet,” he said while using the kitchen of a world renowned jazz trumpeter.",2019-10-13T15:19:31.000Z
0,ieyzL5OaPZk,It says I should do a cooldown after this... I hope laying on the ground trying to catch a breath and wondering if I will throw up or faint first counts as a cooldown.,2016-07-02T10:36:24.000Z
0,fcN37TxBE_s,"i'm starting this tomorrow, 1 like = 1 day of motivation",2019-05-12T00:52:25.000Z
0,YdnqNGcmhqA,Who’s here for week 2!?,2019-06-10T13:34:49.000Z
0,4W9xUWjJ9HE,"I’m going to do this workout everyday for a week and tell y’all the results. (Btw this is the only workout I’m going to be doing) 

Day 1: let me tell y’all, this workout was HARD!!! I took so many breaks and kept telling myself just get through the workout.

Day 2: I didn’t think I was sore but when I started the first exercise, I was already dying lol. I still took breaks and those planks KILLED me!! I haven’t seen any changes yet but I know that being consistent will make a difference.

Day 3: I realized that this workout is still as hard as you think it is. I was really sore as well because I did some cardio because it was nice outside today. I also have noticed that this workout has stopped some of my bloating which is good.

Day 4: this workout was really hard today. I knew that I needed to workout because I had fast food today. I did it and those planks really hurt lol. I have noticed that I have lost a pound or two and my stomach is a tiny bit flatter. My bloating is going away slowly but surely.

Day 5: rest day because I needed it. 

Day 6: this workout is still as hard as it was from day one. I have stopped taking so many breaks during the workout, but it still happens lol. I have noticed that my bloating is almost completely gone. So far I am pretty proud of myself for doing this.

Day 7: I did it!! I finished the seven days! Overall, I haven’t bloated like at all anymore. My stomach has gotten flatter and I’m so surprised!! I would definitely recommend this workout. 

Thank you Cassey for pushing me and to keep going even though I wanted to quit!! Love you so much ❤️❤️🥰",2019-03-24T18:21:24.000Z
0,HrpW5PliIdU,I paused the video so she could take a rest,2018-04-28T13:59:04.000Z
0,hAGfBjvIRFI,When your family keeps walking into your room when you're working out 🙄🙄,2016-07-18T23:21:05.000Z
0,CBWQGb4LyAM,"always remember you can pause and take a break if you need to, all these women are extremely fit and we are all at different levels in our fitness journey. don't feel discouraged if u go slower, or need to stop, because at least u are here and working hard. that's what matters.",2019-07-11T23:50:48.000Z
0,NmMRFWIokK4,This looks like an amazing workout! I love Les Mils combat workouts.,2018-03-18T16:26:24.000Z
0,DcRIf4_sEuc,"These workout vLogs are becoming more and more fun for me to film.  I feel like my old self and I am finally having fun in the gym again.  For a while, my workouts felt like ""work"" rather than enjoyment.  But now that I can edit my training into full routines for you guys on a weekly basis, the gym is starting to feel like it used to and we are all making gains together each week!  I really want to thank all of you guys for your support and and if you have suggestions to make these workouts even more fun, comment below!  NO LET'S GET STAHHHTED!

(1:49)- Barbell Bench Press: 5 SETS: 8, 8, 6, 6, 4 REPS
(4:31)- Modified Dumbbell Bench: 4 SETS: 6 - 8 REPS

(6:37)- Barbell Overhead Press: 5 SETS: 8, 8, 6, 6, 4 REPS
(9:07)- Dumbbell Rear Delt Fly: 4 SETS: 6 - 8 REPS
(10:54)- Power Shrug: 4 SETS: 6 - 8 REPS

(12:17)- SUPERSET
Chest Dip: 3 SETS: 6 - 8 REPS
Diamond Push-Up: 3 SETS: FAILURE

(13:35)- Leg Lift: 3 SETS: 12 - 15 REPS
(16:27)- Wood Chopper: 3 SETS: 12 - 15 REPS PER SIDE

*JED NORTH - SCOTT20 - FOR 20% ENTIRE ORDER* - https://jednorth.com

*CHANGE  NOTIFICATIONS TO ALL* - https://www.youtube.com/subscription_manager",2019-10-15T17:10:06.000Z
0,05MmHF3sGJs,"Men's Health gave me my start in fitness.  In fact, if it wasn't for them I most likely wouldn't be where I am today.  I'm so thankful and grateful to the team that I worked with at the start of my career.  

But it seems like since then things have just taken a COMPLETE left turn and the integrity of the Men's Health video team in terms of providing quality content has just dissipated.  Is this hate or is this bringing attention to the widespread of misinformation and utter GAHHHBAGE that has become YouTube Fitness?

I know what I'm doing in the gym, so stuff like this doesn't impact my workout.  But if you're a fan of Tom Ellis, who is an AMAZING actor, you're more than likely going to trust the advice given in this video because MEN'S HEALTH puts their seal of approval on it and that is just WRONG!",2019-08-04T19:32:02.000Z
